Handle,Title,Vendor,Product Category,Type,Tags,Description,Features,Specifications,Material,Color,Length,Width,Height,Variant SKU,Variant Price,Image Src,Variant Image,All URLs,SEO Title,SEO Description
artiss-wooden-scandinavian-entertainment-unit-natural,Artiss Wooden Scandinavian Entertainment Unit - Natural,Artiss,,Living Room Furniture,"Brand_Artiss, Color_Natural, Price Range_$201-$300, Type_TV Stand",PRODUCT DESCRIPTION,Scandinavian inspired design of artiss tv unit | The finish is Natural timber veneer | Three pull-out drawers equipped with flushed handles | Open shelf display | Legs are Tapered solid rubberwood | Easy to assemble | Material is E1 PB | Dimension is 160cm x 40cm x 60cm | Drawer dimensions is 46.5cm x 33cm x 11cm | Shelf Dimensions is 51.5cm x 39.7cm x 17cm | Colour is Natural | 1 x Entertainment Unit | 1 x Assembly Unit,Material is E1 PB | Dimension is 160cm x 40cm x 60cm | Drawer dimensions is 46.5cm x 33cm x 11cm | Shelf Dimensions is 51.5cm x 39.7cm x 17cm | Colour is Natural,Wooden | Veneer,Natural,160,40,60,FURNI-G-SCAN-TV-NT-AB,253.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/FURNI-G-SCAN-TV-NT-AB-00.jpg?v=1756962644,,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/FURNI-G-SCAN-TV-NT-AB-00.jpg?v=1756962644,Buy tv stand and entertainment center online,"If you plan to buy a TV stand and entertainment center, this Artiss tv unit with storage is a good choice. You love the design of this Scandinavian TV unit."
artiss-armchair-lounge-chair-accent-retro,Artiss Armchair Lounge Chair Accent Retro Armchairs Lounge Shell Velvet Navy,Artiss,,Living Room Furniture,"Brand_Artiss, Color_Navy Blue, Price Range_$201-$300, Type_Armchair, Type_Hospitality Chairs, Type_Lounge Chairs",PRODUCT DESCRIPTION,Accent chair from Artiss with Shellback design | Velvet upholstery | Foam is High resilience | Padding is Extra thick | Corners are Smooth round | Construction is Sturdy wood | Golden splayed legs | Easy assembly | The seat material is Velvet fabric | Frame is Wood | Legs are Metal | Overall dimensions is 71cm x 71cm x 68cm | Colour is Navy | 1 x Artiss Armchair | 1 x Assembly Manual,The seat material is Velvet fabric | Frame is Wood | Legs are Metal | Overall dimensions is 71cm x 71cm x 68cm | Colour is Navy,Wooden | Fabric | Velvet | Metal | Wood | Foam,Blue | Navy | Vintage,71,71,68,UPHO-5002-VEL-NA,155.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/NewProject-2021-06-01T164729.588.jpg?v=1756962646,,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/NewProject-2021-06-01T164729.588.jpg?v=1756962646,Buy navy velvet armchair/lounge chair online,Timeless appeal is the highlight of this Navy velvet armchair. This Artiss armchair under the category of armchairs and accent chairs has an iconic design.
artiss-chest-of-drawers-dresser-table-tallboy,Artiss Chest of Drawers Dresser Table Tallboy Storage Cabinet Furniture Bedroom,Artiss,,Living Room Furniture,"Brand_Artiss, Color_Grey, Color_White, Price Range_$101-$200, Type_Dressing Table, Type_Storage Drawers",PRODUCT DESCRIPTION,"Scandinavian-inspired tallboy drawers Dresser Table | Five drawers | Two-tone design of Dresser Table | The board is 15mm thick | Solid wood legs with PVC coating | Reinforced structure | Metal slides are Anti-rust coated | Classic knob handles | Easy to clean, Easy assembly | Brand is Artiss | Material is Particleboard | Thickness is 15/12mm | Finish is Paper | Legs are Solid wood with PVC coating | Overall dimensions is 48cm x 30cm x 99cm | The Colour is Grey and white (as shown in the listing) | Assembly Required is Yes | The number of packages is 1 | 1 x Artiss 5-drawer Tallboy | 1 x Assembly Manual",Brand is Artiss | Material is Particleboard | Thickness is 15/12mm | Finish is Paper | Legs are Solid wood with PVC coating | Overall dimensions is 48cm x 30cm x 99cm | The Colour is Grey and white (as shown in the listing) | Assembly Required is Yes | The number of packages is 1,Particle Board | Solid Wood | Veneer | Metal | Wood,White | Grey,48,30,99,FURNI-E-SCAN-TBOY01-WHBK,85.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/NewProject-2021-06-01T163333.996.jpg?v=1756962647,,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/NewProject-2021-06-01T163333.996.jpg?v=1756962647,Buy Dressing Table With Drawer,"If you look for both style and functionality, buy this 5 drawer chest. It is a cheap chest of drawers table made from quality particle board."
artiss-shoe-cabinet-shoes-storage-rack-1,Artiss Shoe Cabinet Shoes Storage Rack 120cm Organiser Drawer Cupboard Wood,Artiss,,Living Room Furniture,"Brand_Artiss, Color_Wood, Price Range_$201-$300, Type_Shoe Rack",PRODUCT DESCRIPTION,Ample storage Cabinet shoe Storage | Premium particle board composition | Adjustable shelves in Cabinet Shoes Storage with Cut-out handles | Smooth metal runners | Floor protectors for protection | Easy assembly | Stores 26 pairs (depends on shoe size): | Up to 26 pairs of Children's shoes | Up to 16 pairs of Ladies' shoes | Up to 13 pairs Men's shoes | Brand is Artiss | Material is Particleboard | Finish is Melamine | Thickness is 15mm | Overall dimensions is 120cm x 32cm x 91cm | Colour is Wood | Assembly required?-Yes | The number of packages is 2 | 1 x Artiss Shoe Cabinet | 1 x Assembly Manual,Brand is Artiss | Material is Particleboard | Finish is Melamine | Thickness is 15mm | Overall dimensions is 120cm x 32cm x 91cm | Colour is Wood | Assembly required?-Yes | The number of packages is 2,Particle Board | Melamine | Wooden | Metal | Wood,,120,32,91,FURNI-O-SHOE-120-WD-AB,140.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/NewProject-2021-06-01T161042.438.jpg?v=1756962649,,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/NewProject-2021-06-01T161042.438.jpg?v=1756962649, shoe storage cabinet/shoe rack cabinet online - Easymart,Elegant and stylish this shoe storage wooden Artiss Shoe rack offers ample storage space. This modern shoe rack has height adjustable shelves.
artiss-tv-cabinet-entertainment-unit-stand-140cm-oak,Artiss TV Cabinet Entertainment Unit Stand Storage Shelf Sideboard 140cm Oak,Artiss,,Living Room Furniture,"Brand_Artiss, Color_Oak, Price Range_$201-$300, Type_TV Stand",PRODUCT DESCRIPTION,"Clean-lined Ample storage unit | Two deep cabinets with Four open shelves | Magnetic door catches | Quality aluminum handles for support | Durable hinges | Extra supporting leg | Pre-drilled holes with an Anti-slip base | Easy assembly | Brand is Artiss | Material is Honeycomb board + particleboard | Handle is Aluminium | Finish is Melamine | Weight capacity is Top 60kg, shelf 10kg | Overall dimensions is 140cm x 40cm x 58cm | Colour is Oak | 1 x Artiss Entertainment Unit | 1 x Assembly Manual","Brand is Artiss | Material is Honeycomb board + particleboard | Handle is Aluminium | Finish is Melamine | Weight capacity is Top 60kg, shelf 10kg | Overall dimensions is 140cm x 40cm x 58cm | Colour is Oak",Aluminium | Aluminum | Melamine | Wooden | Oak,Oak,140,40,58,FURNI-N-TV02-NT-AB,127.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/NewProject-2021-05-28T120136.713.jpg?v=1756962650,,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/NewProject-2021-05-28T120136.713.jpg?v=1756962650,Artiss TV cabinet entertainment unit storage shelf sideboard ,"If you're looking for a home entertainment system that will be resembling the best cabinet, then Artiss TV Cabinet is something that you should choose. 
"
artiss-modern-coffee-table-4-storage-drawer,Artiss Modern Coffee Table 4 Storage Drawers High Gloss Living Room Furniture White,Artiss,Uncategorized,Living Room Furniture,"Brand_Artiss, Color_White, Price Range_$101-$200, Type_Coffee Tables",PRODUCT DESCRIPTION,Solid construction | UV High-gloss finish | Four drawers | Anti-rust runners | Easy assembly | Please remove the protective film after installation. | Brand: Artiss | Material: Particleboard | Finish: UV High gloss | Overall dimensions: 95cm x 60cm x 31cm | Colour: White | 1 x Artiss Coffee Table | 1 x Assembly Manual,Brand: Artiss | Material: Particleboard | Finish: UV High gloss | Overall dimensions: 95cm x 60cm x 31cm | Colour: White,,White,95,60,31,FURNI-L-COF01-WH-AB,140.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/NewProject-2021-05-28T105338.100.jpg?v=1756962651,,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/NewProject-2021-05-28T105338.100.jpg?v=1756962651,,
artiss-high-stretch-sofa-cover-couch-protector-slipcovers-3-seater,Artiss High Stretch Sofa Cover Couch Protector Slipcovers 3 Seater,Artiss,,Living Room Furniture,"Brand_Artiss, Color_Grey, Color_Navy Blue, Price Range_$1-$100, Type_Sofa Covers",PRODUCT DESCRIPTION,"Highly stretchable | All-round protection | Anti-slip foams strips | Elastic bot | Easy installation | Suitable for various sofa styles | Brand is Artiss | Material is 85% polyester, 15% spandex | Size is 3 Seater | 1 x Artiss Sofa Cover","Brand is Artiss | Material is 85% polyester, 15% spandex | Size is 3 Seater",Polyester | Fabric | Foam,Grey | Blue,,,,SCOVER-MERBAU-3-GY,32.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/SCOVER-MERBAU-3-GY-00.jpg?v=1756962653,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/NewProject-2021-05-27T215518.042_a4d5b790-c131-4832-9141-efad7e649ee1.jpg?v=1756962654,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/SCOVER-MERBAU-3-GY-00.jpg?v=1756962653 | https://cdn.shopify.com/s/files/1/0255/8191/2144/products/NewProject-2021-05-27T215518.042_a4d5b790-c131-4832-9141-efad7e649ee1.jpg?v=1756962654,Artiss Lounge Covers | The Best Sofa Slipcovers for Sale Online ,Modern stretch sofa covers save your existing sofa & make it as good as a new one. Find the best suited sofa protectors & lounge covers from an extensive range online.
artiss-6-tier-shoe-rack-cabinet-white,Artiss 6-Tier Shoe Rack Cabinet - White,Artiss,,Office Shelving,"Brand_Artiss, Color_White, Price Range_$1-$100",PRODUCT DESCRIPTION,Design is Stylish and contemporary | Clutter-free entrance | 6-tier storage that is Eco-friendly | Non-toxic finish | Durable and practical unit with sturdy construction | Easy to clean and easy to assemble unit | Stores 30 pairs of shoes- | Up to 30 pairs of Children's shoes | Up to 24 pairs of Ladies' shoes | Up to 18 pairs Men's shoes | Brand is Artiss • Material is Particle Board | Overall dimension is 75 x 30 x 96cm | Colour is White | Assembly required is Yes | The number of packages is 1 | 1 x Artiss 6-Tier Shoe Rack | 1 x Assembly Manual,Brand is Artiss • Material is Particle Board | Overall dimension is 75 x 30 x 96cm | Colour is White | Assembly required is Yes | The number of packages is 1,Particle Board,White,75,30,96,FURNI-C-SHOE-R5-WH,72.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/FURNI-C-SHOE-R5-WH-00.jpg?v=1756962655,,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/FURNI-C-SHOE-R5-WH-00.jpg?v=1756962655,Artiss Shoe Cabinet | The Best Shoe Storage Cabinet for Online Sale ,The Artiss White Shoe Cabinet keeps your entrance & doorway in an orderly way. Store upto 30 pairs of your favourite footwear with a modern shoe storage cabinet. 
artiss-bedside-tables-drawers-storage-cabinet,Artiss Bedside Tables Drawers Storage Cabinet Drawers Side Table White,Artiss,,Home Furniture,"Brand_Artiss, Color_White, Price Range_$101-$200, Type_Bedside Table",PRODUCT DESCRIPTION,"Two spacious drawers with a Melamine finish | Solid construction ensuring durability | Anti-scratch unit | High-quality sliding rails | Aluminum handles and Reinforced foot base | Easy to clean, Easy assembly unit | Brand is Artiss | The frame is 15mm, particleboard | Finish is Melamine | Edge is PVC | Colour is White | Overall dimensions is 51.5cm x 39.5cm x 54cm | 1 x Artiss Bedside Table | 1 x Assembly Manual","Brand is Artiss | The frame is 15mm, particleboard | Finish is Melamine | Edge is PVC | Colour is White | Overall dimensions is 51.5cm x 39.5cm x 54cm",Aluminum | Melamine,White,51.5,39.5,54,FURNI-SIDE-SHELF-WH,66.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/NewProject-2021-05-27T201215.857.jpg?v=1756962656,,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/NewProject-2021-05-27T201215.857.jpg?v=1756962656,Buy modern white Bedside table with drawers online,Keep your essentials within reach with this chic Artiss white bedside table with drawers. It is perfect for adding elegance to your bedroom.
shoe-cabinet-shoes-storage-rack-organiser,Shoe Cabinet Shoes Storage Rack Organiser White Shelf Drawer Cupboard 24 Pairs,Artiss,,Living Room Furniture,"Brand_Artiss, Color_White, Price Range_$101-$200, Type_Shoe Rack",PRODUCT DESCRIPTION,It is made by wood products made from wood fibers and is engineered under pressure and temperature. | It uses non-toxic paint for its finish. | It provides ample storage at a minimum cost. | Includes fully adjustable shelves which are easy to use. | It has got metal cup pull handles with a proper finish. | Safe corners and smooth open-close mechanism. | Can store up to 24 pairs of shoes. | Up to 24 pairs: For Children’s shoes. | Up to 16 pairs: For Adult’s shoes. | Material Used: Premium E1 MDF board made from wood fibers. | Thickness Of Product: 15 mm | Finishing: NC Lacquer | Overall Dimensions Used: 105cm x 24cm x 82.5cm . | Colour Available: White | Assembly Required: Yes | Number Of Packages: 2 | 1 x Shoe Cabinet | 1 x Assembly Manual,Material Used: Premium E1 MDF board made from wood fibers. | Thickness Of Product: 15 mm | Finishing: NC Lacquer | Overall Dimensions Used: 105cm x 24cm x 82.5cm . | Colour Available: White | Assembly Required: Yes | Number Of Packages: 2,Metal | Wood | Mdf,White,105,24,82.5,FURNI-P-SHOE-4D-WH-AB,146.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/NewProject-2021-05-27T195918.386.jpg?v=1756962658,,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/NewProject-2021-05-27T195918.386.jpg?v=1756962658,Best Shoe Storage Cabinet in Australia | Artiss Shoe Cabinet ,Our modern shoe rack cabinet by Artiss renders ample space for your favorite shoes. Tame the clutter in your living room with elegant white shoe cabinet for sale online.
artiss-bamboo-shoe-rack-bench,Artiss Bamboo Shoe Rack Bench,Artiss,,Living Room Furniture,"Brand_Artiss, Color_Natural, Price Range_$1-$100, Type_Shoe Bench, Type_Shoe Rack",PRODUCT DESCRIPTION,It is made with Bamboo. | It has got a 2-in-1 shoe bench rack | Can accommodate the tall type of footwear. | Strong and Durable | It is eco-friendly and has non-toxic material. | It is a center cross beam. • Easy to clean and assemble. | • Can store up to 10 pairs of shoes. | Up to 10 pairs: Children’s shoes. | Up to 7 pairs: Ladies’ shoes. | Up to 5 pairs: Men’s shoes. | BrandName: Artiss • Material Used: Bamboo | Seat weight Carrying Capacity: 100kg | Shelf rack weight carrying capacity: 10 kg/tier | Overall Dimension: 89cm x 44cm x 28cm | Colour Available: Natural | Assembly required: Yes | Number of Packages: 1 | 1 x Artiss Bamboo Bench Shoe Rack | 1 x Assembly Manual,,Bamboo,Natural,89,44,28,WOOD-B-SR-9045-NT,53.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/WOOD-B-SR-9045-NT-00.jpg?v=1756962659,,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/WOOD-B-SR-9045-NT-00.jpg?v=1756962659,Artiss Shoe Cabinet Bench | Best Wooden Shoe Rack & Organizer ,The Artiss Shoe Storage Bench offers a neat & orderly storage unit for shoes. Buy a functional & versatile shoe rack bench from our vast collection available online.
artiss-wooden-storage-console-table-white,Artiss Wooden Storage Console Table - White,Artiss,,Living Room Furniture,"Brand_Artiss, Color_White, Price Range_$101-$200, Type_Storage Table",PRODUCT DESCRIPTION,It gives premium E1 MDF frame. | Provides 15mm thick board. | Quality NC lacquer painting completely. | Also has heavy-duty steel fixings. | It has an anti-scratch floor protector. | It has criss-cross design on the side. | It contains wall-security screws included. | BrandName: Artiss | Material Used: E1 MDF Board | Shelf height: 27cm | Ground Clearance measurements: 9cm | Overall Dimension: 100 x 40 x 76cms | Colour Available: White | Assembly Required: Yes | Number of packages: 1 | 1 x Artiss Console Table | 1 x Assembly Manual,BrandName: Artiss | Material Used: E1 MDF Board | Shelf height: 27cm | Ground Clearance measurements: 9cm | Overall Dimension: 100 x 40 x 76cms | Colour Available: White | Assembly Required: Yes | Number of packages: 1,Wooden | Steel | Mdf,White,100,40,76,FURNI-F-TTAB-01-WH,100.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/FURNI-F-TTAB-01-WH-00.jpg?v=1756962660,,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/FURNI-F-TTAB-01-WH-00.jpg?v=1756962660,Artiss White Console Table | Best Wooden 3 tier shelving for Sale,The wood console table by Artiss features timeless design to enhance your living room. Find the best suited & modern console table with storage from our online collection.
artiss-lounge-sofa-floor-recliner-futon-chaise-folding-couch,Artiss Lounge Sofa Floor Recliner Futon Chaise Folding Couch,Artiss,,Living Room Furniture,"Color_Black, Color_Grey, Price Range_$1-$100, Type_Sofa Lounge",PRODUCT DESCRIPTION,Fully adjustable headrest sofa chair. | Has got 14 available positions. | It is generously cushioned and has got high resilience foam. | It contains premium flannel fabric and a sturdy steel frame. | It is strong and durable. | It has got steel frames with proper finishing at the edges. | BrandName: Artiss | Material Used For Frame: Steel | Material Used For Cover: Flannel Fabric | Dimensions: 96cm x 42cm x 13cm | Colour Available: Black • Assembly Required: No | Number Of Packages: 1 | 1 x Artiss Lounge Chair,BrandName: Artiss | Material Used For Frame: Steel | Material Used For Cover: Flannel Fabric | Dimensions: 96cm x 42cm x 13cm | Colour Available: Black • Assembly Required: No | Number Of Packages: 1,Fabric | Steel | Foam,Black,96,42,13,FLOOR-SBL-M193-S-BK,56.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/FLOOR-SBL-M193-S-BK-00.jpg?v=1756962662,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/FLOOR-SBL-M193-S-BK-00.jpg?v=1756962662,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/FLOOR-SBL-M193-S-BK-00.jpg?v=1756962662 | https://cdn.shopify.com/s/files/1/0255/8191/2144/products/FLOOR-SBL-M193-S-BK-00.jpg?v=1756962662,Artiss Adjustable Headrest Sofa for Online Sale in Australia,"We bring you a comfortable Artiss lounge & adjustable headrest sofa, rightly angled for reading & watching TV. Check out the modern adjustable sofa bed we offer online."
artiss-scandinavian-tv-cabinet-entertainment-unit,Artiss TV Cabinet Entertainment Unit Stand Storage Drawer Scandinavian 180cm Oak,Artiss,,Living Room Furniture,"Brand_Artiss, Color_Oak, Price Range_$201-$300, Type_TV Stand",PRODUCT DESCRIPTION,"Scandinavian-inspired design. | It now has two-tone colors. | It has 2 open shelves. | Includes 2 drawers. | Contains elegantly curved handles. | Contains smooth drawer runners. | Has got reinforced legs with an anti-scratch base. | Now has pre-drilled holes. | Easy to Assemble. | BrandName: Artiss | Material Used: | Frame: 15mm particleboard | Legs: 25mm particleboard | Finishing: Paper | Overall Dimensions: 180cm x 40cm x 47cm | Weight Capacity: Top 80 kg, Shelf 10kg, drawer 5kg | Colour Available: Oak and White | Assembly required: Yes | Package Items: 2 | 1 x Artiss Entertainment Unit | 1 x Assembly Manual","BrandName: Artiss | Material Used: | Frame: 15mm particleboard | Legs: 25mm particleboard | Finishing: Paper | Overall Dimensions: 180cm x 40cm x 47cm | Weight Capacity: Top 80 kg, Shelf 10kg, drawer 5kg | Colour Available: Oak and White | Assembly required: Yes | Package Items: 2",Oak,White | Oak,180,40,47,FURNI-G-TONI-TV180-AB,123.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/NewProject-2021-05-27T150023.595.jpg?v=1756962665,,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/NewProject-2021-05-27T150023.595.jpg?v=1756962665,Artiss Wooden TV Cabinet | TV Storage Unit For Sale Online,Artiss TV Cabinet & modern TV stand enhances your living room & provides space for large screen TV and other stuff. Buy cheap TV units & cabinets with storage online. 
artiss-6-panel-room-divider-privacy-screen-stand-foldable,Artiss 6 Panel Room Divider Privacy Screen Foldable Pine Wood Stand White,Artiss,,Living Room Furniture,"Color_White, Price Range_$201-$300, Type_Room Divider",PRODUCT DESCRIPTION,"It has 6 panels. | It can divide the dining rooms, creating privacy sections or office partitions. | Made with solid Pinewood. | It contains two-way metal hinges. | It has a non-woven fabric screen – which is an environmentally familiar material. | It has got foldable panels – which saves space when not in use. | Flexible and easy to store. | Materials Used: Solid pine wood and non-woven fabric screen. | Colour Available: White | Overall Dimensions: 261 x 178.5cm | 2 x 3 Panels Divider | 1 x Manual",Materials Used: Solid pine wood and non-woven fabric screen. | Colour Available: White | Overall Dimensions: 261 x 178.5cm,Fabric | Metal | Wood | Pine,White | Pine,,,,RD-4019-6P-WH-AB,162.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/V63-826101-62e9ce5339fc6.1000x1000-06.jpg?v=1756962668,,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/V63-826101-62e9ce5339fc6.1000x1000-06.jpg?v=1756962668,Artiss 6 Plane Room Divider Screen Foldable privacy screen,"Are you looking for privacy in your home? Don’t worry Artiss has brought you a new room divider screen made with solid pine wood. This room separator or divider gives you different zones in your room and gives your home a new dimension.
"
artiss-metal-table-and-chairs-walnut-black,Artiss Metal Table and Chairs - Walnut & Black,Artiss,,Dining Room Furniture,"Brand_Artiss, Price Range_$101-$200, Type_Dining Set",PRODUCT DESCRIPTION,The industrial design of the Artiss dining chairs | Particleboard construction with dining table and chairs | metal leg dining table with Reinforced steel frame | Metal pipe legs with Durable powder coating | Heavy-duty steel fixings for added support | Smooth surface finish for long-lasting shine | Tabletop: Particleboard with Melamine finish | Legs: Metal | Top thickness: 1.5cm | Overall dimension: 70 x 70 x 75.5cm | Colour: Walnut and Black | Material: Particleboard | Backrest and legs: Metal | Overall dimension: 39.5 x 35.5 x 86cm | Colour: Walnut and Black | 1 x Machal Dining Table | 2 x Machal Dining Chairs,,Melamine | Walnut | Steel | Metal,Black | Walnut,70,70,75.5,MET-DESK-356-WN,100.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/MET-DESK-356-WN-00.jpg?v=1756962671,,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/MET-DESK-356-WN-00.jpg?v=1756962671,Artiss Dining Table and Chairs | Elegant Dining Room Furniture for Sale,Artiss brings robust dining table and chairs for your dining area. Our stunning artiss room furniture is elegant in finish. Get a metal leg dining table from our store.
artiss-48-pairs-shoe-cabinet-rack-organiser,Artiss 48 Pairs Shoe Cabinet Rack Organiser Storage Shelf Wooden,Artiss,,Living Room Furniture,"Brand_Artiss, Color_White, Color_Wood, Price Range_$101-$200, Type_Shoe Rack",PRODUCT DESCRIPTION,"The modern shoe rack design is Simple, stylish, and contemporary | Clutter-free entrance with Four compartments of Artiss shoe cabinet | Shoe racks sale unit per compartment Triple-row | Adjustable shelves in Three | Air gap handles | Sturdy construction for long-lasting use | Assembly required | Stores up to 60 pairs (depends on shoe size) is is | Up to 60 pairs of Children's shoes | Up to 36 pairs of Ladies' shoes | Up to 24 pairs Men's shoes | Brand is Artiss | Overall dimensions is 63cm x 30cm x 150cm | Refer to gallery for more dimensions | Material is E1 12/15mm particle board with paper | Colour is White and wood | Assembly required is Yes | Number of packages is 2 | 1 x Artiss Shoe Cabinet | 1 x Assembly Manual",Brand is Artiss | Overall dimensions is 63cm x 30cm x 150cm | Refer to gallery for more dimensions | Material is E1 12/15mm particle board with paper | Colour is White and wood | Assembly required is Yes | Number of packages is 2,Particle Board | Wooden | Wood,White,63,30,150,FURNI-G-SHOE-4D3R-WD-WH-AB,123.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/NewProject-2021-05-27T121754.148.jpg?v=1756962673,,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/NewProject-2021-05-27T121754.148.jpg?v=1756962673,Artiss Shoe Cabinet | Finest Quality Shoe Rack Cabinet for Sale,"Shoe Storage Cabinet by Artiss renders plenty of footwear storage space, holding upto 60 pairs shoes. Shop the 4 level white shoe cabinet available online for sale. "
artiss-dining-table-4-seater-round-timber-white,Artiss Dining Table 4 Seater Round Replica DSW Eiffel Kitchen Timber White,Artiss,,Dining Room Furniture,"Brand_Artiss, Price Range_$201-$300, Type_Dining Tables",PRODUCT DESCRIPTION,Replica dining table that is a Four seater | Reinforced MDF tabletop to make dining room tables stand out | lacquering Matt PU finish for sleekness | Smooth round edges for no harm to kids | Heavy-duty fixings for the enhanced durability | Solid beech wood legs for better support | Anti-slip legs with no chance of falls | Tabletop is of the grade MDF | Legs are made of Beechwood | The finish is PU lacquer | Tabletop thickness is 2cm and Height 73cm | Table diameter is 100cm | The Colour of the table is White | 1 x Dining Table | 1 x User Manual,Tabletop is of the grade MDF | Legs are made of Beechwood | The finish is PU lacquer | Tabletop thickness is 2cm and Height 73cm | Table diameter is 100cm | The Colour of the table is White,Wooden | Steel | Beech | Wood | Mdf,White,,,73,BA-BB-DSW-TAB100-WH,160.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/1_32_8e09a614-5dba-4039-b5ce-3d116cc7890a.jpg?v=1756962683,,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/1_32_8e09a614-5dba-4039-b5ce-3d116cc7890a.jpg?v=1756962683,Artiss Round Dining Table | Buy the Best 4 Seater Dining Table in Australia,4 Seater Dining Table by Artiss | This round dining table would greatly enhance your existing furniture. Check our range of dining room tables to find the best white dining table set.
artiss-set-of-4-dining-chairs-pvc-leather-black,Artiss Set of 4 Dining Chairs PVC Leather - Black,Artiss,,Dining Room Furniture,"Brand_Artiss, Price Range_$101-$200, Type_Dining Chairs",PRODUCT DESCRIPTION,Astra dining chair | Matt finish PVC seat | Waterproof and wear resistance | Powder-coated 0.8mm metal legs | Reinforced installation hardware accessories | Simple assembly | Easy to maintain | Legs: Metal | Seat: PVC | 4 x Dining Chairs | 1 x Assembly Instructions,Legs: Metal | Seat: PVC,Leather | Metal,Black,,,,DINING-B-C02-BK,117.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/DINING-B-C02-BK-00.jpg?v=1756962685,,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/DINING-B-C02-BK-00.jpg?v=1756962685,Artiss Dining Chairs | Best Leather Dining Chairs in Australia,Black Leather Dining Chair | Artiss Dining Room Chairs with matt finish embellish your dining space & impress your guests. Shop cheap dining chairs set of 4 from EasyMart.
artiss-fabric-dining-armchair-beige,Artiss Fabric Dining Armchair - Beige,Artiss,,Living Room Furniture,"Brand_Artiss, Color_Beige, Price Range_$101-$200, Type_Armchair",PRODUCT DESCRIPTION,Full-size seating space | Tufted button design | Extra thick foam padding | Removable seat cushion | Strong rubberwood legs | Reinforced wooden frame | Anti-slip plastic floor protector | Seat material: Polyester | Leg material: Rubber wood legs | Overall dimensions: 58cm x 68cm x 80cm | Colour: Beige | 1 x ANNE Armchair | 1 x Assembly Manual,Seat material: Polyester | Leg material: Rubber wood legs | Overall dimensions: 58cm x 68cm x 80cm | Colour: Beige,Polyester | Plastic | Wooden | Fabric | Rubber | Wood | Foam,Beige,58,68,80,UPHO-B-ARM04-BG,119.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/UPHO-B-ARM04-BG-00.jpg?v=1756962686,,https://cdn.shopify.com/s/files/1/0255/8191/2144/products/UPHO-B-ARM04-BG-00.jpg?v=1756962686,Buy Artiss Fabric Dining Armchair Online in Australia,"The Anne Armchair is a full-size chair with generous seating space. The extra-thick foam padding ensures ultimate comfort with exceptional support.  ✓ Colour: Beige
"
